vehicle_id,customer_id,name_of_service,description_of_service,price_pln,data
1,1,'Oil change','Regular oil and filter change',100,'2023-04-01'
2,1,'Brake repair','Replacement of brake pads and discs',300,'2023-05-15'
3,2,'Tire rotation','Rotation of tires for even wear',50,'2023-06-10'
4,2,'Engine tune-up','Spark plug replacement and engine diagnostics',200,'2023-07-20'
5,3,'Windshield replacement','Replacement of cracked or damaged windshield',500,'2023-08-05'
6,3,'Battery replacement','Replacement of vehicle battery',150,'2023-09-01'
7,4,'Transmission fluid change','Flushing and refilling of transmission fluid',250,'2023-10-15'
8,4,'Coolant flush','Flushing and refilling of coolant system',150,'2023-11-20'
9,5,'Air filter replacement','Replacement of engine air filter',75,'2023-12-01'
10,5,'Wiper blade replacement','Replacement of worn wiper blades',40,'2024-01-10'
11,6,'Headlight restoration','Restoration of cloudy or faded headlights',100,'2024-02-15'
12,6,'Cabin air filter replacement','Replacement of cabin air filter',60,'2024-03-20'
13,7,'Wheel alignment','Adjustment of wheel alignment for proper tire wear',150,'2024-04-01'
14,7,'Fuel system cleaning','Cleaning of fuel injectors and throttle body',200,'2024-05-15'
15,8,'Serpentine belt replacement','Replacement of serpentine belt and tensioner',150,'2024-06-10'
16,8,'Differential fluid change','Flushing and refilling of differential fluid',100,'2024-07-20'
17,9,'Spark plug replacement','Replacement of spark plugs',150,'2024-08-05'
18,9,'Ignition coil replacement','Replacement of ignition coils',200,'2024-09-01'
19,10,'Brake fluid flush','Flushing and refilling of brake fluid',100,'2024-10-15'
20,10,'Power steering fluid change','Flushing and refilling of power steering fluid',75,2021-11-20'
21,11,'Timing belt replacement','Replacement of timing belt and water pump',500,2022-12-01'
22,11,'Valve cover gasket replacement','Replacement of valve cover gasket',150,2023-01-10'
23,12,'Oxygen sensor replacement','Replacement of oxygen sensors',200,2023-02-15'
24,12,'Mass air flow sensor replacement','Replacement of mass air flow sensor',150,2020-03-20'
25,13,'Catalytic converter replacement','Replacement of catalytic converter',800,2021-04-01'
26,13,'Muffler replacement','Replacement of muffler and exhaust system',400,2020-05-15'
27,14,'Radiator replacement','Replacement of radiator and coolant hoses',300,2020-06-10'
28,14,'Water pump replacement','Replacement of water pump',250,2021-07-20'
29,15,'Alternator replacement','Replacement of alternator and battery cables',300,2022-08-05'
30,15,'Starter replacement','Replacement of starter motor',250,2023-09-01'
1,1,Tire rotation','Rotation of tires for even wear',50,2023-10-15'
2,1,'Windshield wiper replacement','Replacement of worn wiper blades',40,2021-11-20'
3,2,'Headlight restoration','Restoration of cloudy or faded headlights',100,2023-12-01'
4,2,'Cabin air filter replacement','Replacement of cabin air filter',60,2021-01-10'
5,3,'Wheel alignment','Adjustment of wheel alignment for proper tire wear',150,2021-02-15'
6,3,'Fuel system cleaning','Cleaning of fuel injectors and throttle body',200,2021-03-20'
7,4,'Serpentine belt replacement','Replacement of serpentine belt and tensioner',150,2021-04-01'
8,4,'Differential fluid change','Flushing and refilling of differential fluid',100,2021-05-15'
9,5,'Spark plug replacement','Replacement of spark plugs',150,2021-06-10'
10,5,'Ignition coil replacement','Replacement of ignition coils',200,2021-07-20'
11,6,'Brake fluid flush','Flushing and refilling of brake fluid',100,2021-08-05'
12,6,'Power steering fluid change','Flushing and refilling of power steering fluid',75,2021-09-01'
13,7,'Timing belt replacement','Replacement of timing belt and water pump',500,2021-10-15'
14,7,'Valve cover gasket replacement','Replacement of valve cover gasket',150,2021-11-20'
15,8,'Oxygen sensor replacement','Replacement of oxygen sensors',200,2021-12-01'
16,8,Mass air flow sensor replacement','Replacement of mass air flow sensor',150,2023-01-10'
17,9,'Catalytic converter replacement','Replacement of catalytic converter',800,2023-02-15'
18,9,'Muffler replacement','Replacement of muffler and exhaust system',400,2023-03-20'
19,10,'Radiator replacement','Replacement of radiator and coolant hoses',300,2023-04-01'
20,10,'Water pump replacement','Replacement of water pump',250,2023-05-15'
21,11,'Alternator replacement','Replacement of alternator and battery cables',300,2023-06-10'
22,11,'Starter replacement','Replacement of starter motor',250,2023-07-20'
23,12,'Battery replacement','Replacement of vehicle battery',150,2023-08-05'
24,12,'Transmission fluid change','Flushing and refilling of transmission fluid',250,2023-09-01'
25,13,'Coolant flush','Flushing and refilling of coolant system',150,2023-10-15'
26,13,'Air filter replacement','Replacement of engine air filter',75,2023-11-20'
27,14,'Oil change','Regular oil and filter change',100,2023-12-01'
28,14,'Brake repair','Replacement of brake pads and discs',300,2022-01-10'
29,15,'Tire rotation','Rotation of tires for even wear',50,2022-02-15'
30,15,'Windshield wiper replacement','Replacement of worn wiper blades',40,2022-03-20'
